date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:21	1728/1728	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/UserPreferenceMeta.generated-6cd6d588.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/UserPreferenceMeta.generated-6cd6d588.js	(from https://stake.us/?)
18:38:21	198/198	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/preferencesFetchStore-63c59ee4.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/preferencesFetchStore-63c59ee4.js	(from https://stake.us/?)
18:38:21	1227/1227	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-9189cc34.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-9189cc34.js	(from https://stake.us/?)
18:38:21	6252/6252	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-21535704.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-21535704.js	(from https://stake.us/?)
18:38:22	680/680	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/RaceFragment.generated-6f7cd920.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/RaceFragment.generated-6f7cd920.js	(from https://stake.us/?)
18:38:22	1436/1436	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/utils-3f5048ac.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/utils-3f5048ac.js	(from https://stake.us/?)
18:38:22	3091/3091	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-234470d1.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-234470d1.js	(from https://stake.us/?)
18:38:22	1993/1993	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-f7754f76.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-f7754f76.js	(from https://stake.us/?)
18:38:22	811/811	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-3cacc0a1.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-3cacc0a1.js	(from https://stake.us/?)
18:38:23	2244/2244	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-739d4422.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-739d4422.js	(from https://stake.us/?)
18:38:23	642/642	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-15ea3a2f.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-15ea3a2f.js	(from https://stake.us/?)
18:38:23	1696/1696	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-51db5a33.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-51db5a33.js	(from https://stake.us/?)
18:38:23	1709/1709	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/MyBetList.generated-201c3b97.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/MyBetList.generated-201c3b97.js	(from https://stake.us/?)
